project,event,sample,species,N_catch,N_tagged,N_recaptured
LEM_IS17_RBC,0,102,carp,8,8,0
LEM_IS17_RBC,0,102,hybrid,1,1,0
LEM_IS17_RBC,0,103,carp,10,10,0
LEM_IS17_RBC,0,103,hybrid,1,1,0
LEM_IS17_RBC,1,3,carp,2,0,0
LEM_IS17_RBC,1,4,carp,22,0,0
LEM_IS17_RBC,1,5,carp,1,0,0
LEM_IS17_RBC,1,6,carp,4,0,0
LEM_IS17_RBC,1,9,carp,9,0,1
LEM_IS17_RBC,1,9,hybrid,2,0,0
LEM_IS17_RBC,1,10,carp,1,0,0
LEM_IS17_RBC,1,12,carp,22,0,0
LEM_IS17_RBC,1,12,hybrid,2,0,0
LEM_IS17_RBC,1,15,carp,37,0,0
LEM_IS17_RBC,1,17,carp,18,0,0
LEM_IS17_RBC,1,17,hybrid,1,0,0
LEM_IS17_RBC,1,18,carp,4,0,0
LEM_IS17_RBC,1,18,hybrid,1,0,0
LEM_IS17_RBC,1,34,carp,12,0,0
LEM_IS17_RBC,1,36,carp,1,0,0
LEM_IS17_RBC,1,37,carp,3,0,0
LEM_IS17_RBC,2,39,carp,30,0,0
LEM_IS17_RBC,2,39,hybrid,1,0,0
LEM_IS17_RBC,2,40,carp,2,0,0
LEM_IS17_RBC,2,41,carp,48,0,0
LEM_IS17_RBC,2,42,carp,5,0,0
LEM_IS17_RBC,2,43,carp,39,0,0
LEM_IS17_RBC,2,44,carp,15,0,0
LEM_IS17_RBC,2,45,carp,62,0,0
LEM_IS17_RBC,2,45,hybrid,2,0,0
LEM_IS17_RBC,2,48,carp,10,0,0
LEM_IS17_RBC,2,48,hybrid,1,0,0
LEM_IS17_RBC,2,49,carp,13,0,0
LEM_IS17_RBC,2,50,carp,35,0,0
LEM_IS17_RBC,2,51,carp,10,0,0
LEM_IS17_RBC,2,52,carp,15,0,0
LEM_IS17_RBC,2,53,carp,39,0,0
LEM_IS17_RBC,2,56,carp,57,0,0
LEM_IS17_RBC,3,57,carp,24,0,0
LEM_IS17_RBC,3,57,hybrid,1,0,0
LEM_IS17_RBC,3,60,carp,10,0,0
LEM_IS17_RBC,3,61,carp,9,0,0
LEM_IS17_RBC,3,66,carp,1,0,0
LEM_IS17_RBC,3,67,carp,6,0,0
LEM_IS17_RBC,3,67,goldfish,1,0,0
LEM_IS17_RBC,3,67,hybrid,1,0,0
LEM_IS17_RBC,3,69,carp,13,0,0
LEM_IS17_RBC,3,70,carp,1,0,0
LEM_IS17_RBC,3,71,carp,5,0,0
LEM_IS17_RBC,3,74,carp,142,0,0
LEM_IS17_RBC,3,74,goldfish,1,0,0
LEM_IS17_RBC,3,75,carp,19,0,0
LEM_IS17_RBC,3,79,carp,55,0,0
LEM_IS17_RBC,3,79,hybrid,2,0,0
LEM_IS17_RBC,3,80,carp,103,0,0
LEM_IS17_RBC,3,80,hybrid,1,0,0
