project,event,sample,date,start_latitude,start_longitude,end_latitude,end_longitude,hz,percent_power,voltage,amps,effort_sec,trammel_set,tram_start_lat,tram_start_lon,tram_end_lat,tram_end_lon,comments
LEM_IS18_RBC,0,1,2018-06-28,42.32899,-81.85055,42.3299,-81.84678,60,70,500,8.0-9.0,1740,0,,,,,
LEM_IS18_RBC,0,2,2018-06-28,42.33143,-81.84962,42.33497,-81.84802,60,50-70,500,8.0-9.0,2400,0,,,,,
LEM_IS18_RBC,0,3,2018-06-28,42.32826,-81.84727,42.32545,-81.84798,60,70,500,8.0-9.0,1730,0,,,,,
LEM_IS18_RBC,0,4,2018-06-28,42.32266,-81.87744,42.32192,-81.88004,60,60,500,8.5,749,0,,,,,JOEY'S BAY
LEM_IS18_RBC,0,5,2018-06-28,42.32023,-81.8809,42.32108,-81.88267,60,60,500,8.5,189,0,,,,,ZERO CARP CAUGHT - 1 GOLDFISH TAGGED
LEM_IS18_RBC,0,6,2018-06-28,42.30484,-81.90435,42.30593,-81.90598,60,70,500,8.5,1206,0,,,,,WILLOW CANAL
LEM_IS18_RBC,0,7,2018-06-28,42.27561,-81.93521,42.27737,-81.94004,60,50,500,8.5,2169,0,,,,,LAGOON ROAD CANAL
LEM_IS18_RBC,0,8,2018-06-28,42.28777,-81.93041,42.28901,-81.93212,60,40,500,8.5,1221,0,,,,,
LEM_IS18_RBC,0,9,2018-06-29,42.2628,-81.90733,42.25964,-81.90874,60,70,500,8.5,643,0,,,,,
LEM_IS18_RBC,0,10,2018-06-29,42.29218,-81.92796,42.2941,-81.93174,60,20-40,500,8.0-10.0,852,0,,,,,
LEM_IS18_RBC,0,11,2018-06-29,42.29482,-81.91814,42.29712,-81.91928,60,40-60,500,8.0-9.0,849,0,,,,,
LEM_IS18_RBC,0,12,2018-06-29,42.30005,-81.91394,42.30107,-81.91226,60,50-60,500,7.5-8.5,458,0,,,,,
LEM_IS18_RBC,0,13,2018-06-29,42.30107,-81.91226,42.30284,-81.91107,60,50-60,500,7.5-8.5,416,0,,,,,ZERO CARP CAUGHT - 1 GOLDFISH TAGGED
LEM_IS18_RBC,1,14,2018-07-23,42.32852,-81.8466,42.32844,-81.84672,60,50,500,7.5,777,0,,,,,TRANSECT WHILE WAITING FOR TRAMMEL
LEM_IS18_RBC,1,15,2018-07-23,42.3266,-81.8478,42.32495,-81.84853,60,50,500,6.5,1506,2,,,,,HONEY HOLE SOUTH OF RONDEAU JOE'S
LEM_IS18_RBC,1,16,2018-07-23,42.33239,-81.85051,42.33532,-81.84696,60,40,500,7,1968,0,,,,,RECAP:TAG# 003
LEM_IS18_RBC,1,17,2018-07-23,42.32208,-81.88054,42.32188,-81.88014,60,40-50,500,6.7,971,1,,,,,JOEY'S BAY
LEM_IS18_RBC,1,18,2018-07-24,42.33021,-81.84633,42.33143,-81.84991,60,50-60,500,6.5,3329,2,,,,,BAY EAST OF SUMMER PLACE; RECPATURE OF TAG#: 102 AND TAG#: 107. FISH TAGGED DURING SAMPLE 14 (DAY BEFORE) VERY NEAR RECAPTURE LOCATION.
LEM_IS18_RBC,1,19,2018-07-24,42.31999,-81.88119,42.32108,-81.88268,60,50,500,8.5,373,0,,,,,PRIVATE CANAL
LEM_IS18_RBC,1,20,2018-07-24,42.31958,-81.88632,42.31925,-81.88503,60,60,500,7.5,1733,2,,,,,BAY WEST OF SAM 19
LEM_IS18_RBC,1,21,2018-07-24,42.30513,-81.90423,42.30604,-81.90653,60,60,500,7.5,880,0,,,,,WILLOW CUT
LEM_IS18_RBC,1,22,2018-07-24,42.30287,-81.90869,42.30382,-81.90941,60,60,500,7.5,618,0,,,,,L CUT CANAL
LEM_IS18_RBC,1,23,2018-07-24,42.29688,-81.91832,42.29596,-81.91945,60,60,500,7.5,1279,2,,,,,SHREWSBURY BAY
LEM_IS18_RBC,1,24,2018-07-24,42.27518,-81.93524,42.27803,-81.94109,60,60,500,9,1873,0,,,,,LAGOON ROAD CUT
LEM_IS18_RBC,2,25,2018-08-30,42.32528,-81.84791,42.32508,-81.84831,60,40-60,500,6.9,2280,1,42.32488,-81.8484,42.32597,-81.84739,HONEY HOLE SOUTH OF RONDEAU JOE'S
LEM_IS18_RBC,2,26,2018-08-30,42.32715,-81.84734,42.32828,-81.84692,60,50,500,7.5,668,0,,,,,SMALL SHORELINE SECTION
LEM_IS18_RBC,2,27,2018-08-30,42.32965,-81.84664,42.33151,-81.84992,60,40-60,500,5.5-7.0,3039,2,42.33189,-81.84801,42.33025,-81.84914,BAY EAST OF SUMMER PLACE
LEM_IS18_RBC,2,28,2018-08-30,42.33221,-81.85047,42.33563,-81.84634,60,50,500,7.0-8.0,1616,0,,,,,SUMMER PLACE
LEM_IS18_RBC,2,29,2018-08-30,42.32177,-81.88054,42.32254,-81.88017,60,55,500,7.5,995,1,42.3224,-81.8795,42.32175,-81.88034,JOEY'S BAY
LEM_IS18_RBC,2,30,2018-08-30,42.32029,-81.88156,42.32103,-81.88239,60,60,500,7.5,268,0,,,,,CANAL BESIDE JOEY'S BAY
LEM_IS18_RBC,2,31,2018-08-30,42.30807,-81.90393,42.30792,-81.90592,60,65,500,4.0-5.0,1428,1,42.3082,-81.9035,42.30731,-81.90483,ROCK WALL BAY
LEM_IS18_RBC,2,32,2018-08-31,42.30794,-81.90339,42.31021,-81.89896,60,60,500,4.0-5.0,723,0,,,,,ALONG ROCK WALL
LEM_IS18_RBC,2,33,2018-08-31,42.30509,-81.90435,42.30582,-81.90612,60,60,500,4.0-5.0,455,0,,,,,WILLOW CUT
LEM_IS18_RBC,2,34,2018-08-31,42.2933,-81.92467,42.29384,-81.92413,60,60,500,4.0-5.0,774,2,42.9237,-81.9236,,,BAY SOUTH OF SHREWSBURY
LEM_IS18_RBC,2,35,2018-08-31,42.2758,-81.93668,42.27803,-81.94109,60,55,500,7.0-8.0,1088,0,,,,,LAGOON ROAD CANAL
LEM_IS18_RBC,2,36,2018-08-31,42.26525,-81.90849,42.26158,-81.90743,60,60,500,6.5,1071,2,42.263,-81.90728,42.26152,-81.90691,ERIEAU HARBOUR - BAY SIDE
LEM_IS18_RBC,2,37,2018-08-31,42.26106,-81.90704,42.25978,-81.9084,60,60,500,6.0-8.0,615,0,,,,,ERIEAU HARBOUR -ALONG HARBOUR BREAK WALL IN CANAL
LEM_IS18_RBC,2,38,2018-08-31,42.26104,-81.90077,42.26124,-81.90136,60,60,500,6.5,403,1,42.26071,-81.90163,42.26078,-81.90082,RONDEAU PARK PENINSULA
LEM_IS18_RBC,2,39,2018-08-31,42.27908,-81.93194,42.27855,-81.93313,60,60,500,7.5,569,1,42.27926,-81.93186,42.27885,-81.9332,ROCK WALL SOUTH OF SHREWSBURY
LEM_IS18_RBC,2,40,2018-08-31,42.28761,-81.92998,42.289,-81.93209,60,50,500,8.5,727,0,,,,,ONE PASS DOWN CANAL - LOTS OF ALGAE
LEM_IS18_RBC,3,41,2018-10-11,42.3252,-81.84808,42.32657,-81.84775,60,50,500,8.5,1988,2,42.32479,-81.8485,42.32655,-81.4783,HONEY HOLE SOUTH OF RONDEAU JOE'S
LEM_IS18_RBC,3,42,2018-10-11,42.33233,-81.85045,42.33535,-81.84683,60,40,500,8.0-14.0,3047,0,,,,,SUMMER PLACE
LEM_IS18_RBC,3,43,2018-10-11,42.32261,-81.87843,42.32138,-81.88064,60,50,500,8,2517,2,42.32159,-81.88028,42.32246,-81.87849,JOEY'S BAY
LEM_IS18_RBC,3,44,2018-10-11,42.32012,-81.88138,42.32101,-81.88252,60,50,500,9,253,0,,,,,HUNT CLUB CANAL
LEM_IS18_RBC,3,45,2018-10-11,42.30497,-81.90403,42.30595,-81.90629,60,60,500,8.0-10.0,840,0,,,,,WILLOW CUT
